p3,a,b,p1,p2,F1,F2,F3,F3_med,F3_95,F4
0.100,0.100,0.100,0.010,0.010,0.1314,52347.1,3179.9,4566.8,8260.0,41.8
0.100,0.100,0.200,0.010,0.020,0.1278,52456.1,2960.0,4324.2,7877.3,43.7
0.100,0.100,0.300,0.010,0.030,0.1230,52386.1,2814.9,4134.1,7549.3,42.9
0.100,0.100,0.400,0.010,0.040,0.1202,52480.8,2624.6,3899.7,7151.6,44.6
0.100,0.100,0.500,0.010,0.050,0.1160,52441.5,2469.0,3698.9,6852.7,44.0
0.100,0.100,0.600,0.010,0.060,0.1131,52481.0,2348.0,3570.2,6586.8,44.0
0.100,0.100,0.700,0.010,0.070,0.1106,52608.3,2255.4,3424.0,6413.7,46.8
0.100,0.100,0.800,0.010,0.080,0.1070,52564.2,2114.0,3251.4,6144.6,46.8
0.100,0.100,0.900,0.010,0.090,0.1047,52615.7,2053.6,3180.5,5947.9,46.5
0.100,0.100,1.000,0.010,0.100,0.1021,52599.0,1943.8,3052.4,5779.0,46.3
0.100,0.200,0.200,0.020,0.020,0.1307,52429.0,2937.0,4381.8,7905.8,42.6
0.100,0.200,0.300,0.020,0.030,0.1255,52453.5,2736.7,4089.7,7491.2,44.2
0.100,0.200,0.400,0.020,0.040,0.1215,52440.0,2566.8,3873.5,7149.5,42.9
0.100,0.200,0.500,0.020,0.050,0.1185,52455.8,2433.8,3724.5,6898.7,43.5
0.100,0.200,0.600,0.020,0.060,0.1155,52531.9,2329.6,3589.3,6658.4,45.4
0.100,0.200,0.700,0.020,0.070,0.1111,52504.4,2184.4,3403.2,6360.4,45.1
0.100,0.200,0.800,0.020,0.080,0.1089,52595.6,2084.2,3258.8,6162.1,47.8
0.100,0.200,0.900,0.020,0.090,0.1058,52615.6,2019.2,3169.3,6015.8,47.7
0.100,0.200,1.000,0.020,0.100,0.1033,52615.6,1941.2,3062.7,5794.5,46.2
0.100,0.300,0.300,0.030,0.030,0.1276,52403.2,2686.8,4123.3,7559.9,42.5
0.100,0.300,0.400,0.030,0.040,0.1219,52426.9,2520.1,3888.5,7159.3,44.2
0.100,0.300,0.500,0.030,0.050,0.1187,52450.2,2419.4,3734.6,6941.4,44.2
0.100,0.300,0.600,0.030,0.060,0.1146,52484.5,2259.9,3539.2,6563.1,45.2
0.100,0.300,0.700,0.030,0.070,0.1119,52553.8,2189.9,3439.1,6425.2,44.6
